aperiodic_cmps_1,aperiodic_cmps_2,peak_freqs_1,peak_freqs_2,peak_freqs_3,GOF,EOF,ROI_2,SubjName
-20.157114308027,0.839496425203545,10.0630702548035,13.7946959239953,16.7021618929078,0.979946737990047,0.048587285175786,1,sub-cdf001
-20.2279807650103,0.544076335197098,10.2782820565037,11.0110990373198,21.3168712170123,0.944285975334835,0.0736166973281409,2,sub-cdf001
-19.8448665327908,0.775767454956357,10.6560792617564,21.8306911901112,NaN,0.925420947004663,0.0795593312884767,3,sub-cdf001
-20.8993567027542,0.443367520076234,8.00675691173373,10.6131752281352,13.861954529265,0.972610854575198,0.0561235742715442,4,sub-cdf001
-20.1371357399032,0.600250460258301,10.3720941960885,NaN,NaN,0.944656028270488,0.0633118388648748,5,sub-cdf001
-20.2015324640848,0.823962070950538,8.13239440063139,10.5162895833429,14.1142916194782,0.984981249701027,0.0493935536038922,6,sub-cdf001
-20.5857854821092,0.702331697558423,10.7649329785938,19.4511902621894,NaN,0.965751527204263,0.0768030459715019,7,sub-cdf001
-20.4935506028804,0.719760777748286,9.84702156043326,17.9830017660186,NaN,0.97464898297287,0.0488677751315812,8,sub-cdf001
-20.4945711348552,0.676090128495789,10.1898816188588,10.4609898058662,16.7334452399788,0.975382761081465,0.0543438260538817,9,sub-cdf001
-21.7847493564105,0.318334931651255,7.66561523327641,10.7452574075704,20.1014099401336,0.951987912778327,0.0420140461939739,10,sub-cdf001
-20.2923673137482,0.784229602566315,7.59435403541523,10.3035065924627,18.9080142361147,0.967726429570172,0.0467192643235235,11,sub-cdf001
-20.4199871551037,0.713141419453685,10.5174974899692,14.7477507523833,20.2264180223326,0.961426356664562,0.0677701363399673,12,sub-cdf001
-20.1523120377158,0.814603396545312,6.61298957758493,9.24418160533867,11.0050500014491,0.98102735954598,0.0352283864291947,13,sub-cdf001
-20.4733026538567,0.891377479067971,9.7144344616297,13.4051430840343,19.8306541609545,0.97980800620521,0.0449879837814485,14,sub-cdf001
